t,o,h,l,c,v
1578232800000,7432.67346938,7442.684785,7426.60000003,7440.32653061,88.46027055
1578234600000,7440.32653061,7443.3877551,7429.10204083,7429.830321,100.36155205
1578236400000,7432.1632653,7466.74785617,7429.60223404,7457.16326531,134.44133344
1578238200000,7458.69387753,7479.32371543,7441.34693878,7469.46777098,167.78194958
1578240000000,7468.98154156,7481.16493574,7455.00000001,7474.65640577,141.98695382
1578241800000,7474.09533261,7486.47532712,7449.51020408,7459.71428571,149.00934367
1578243600000,7460.98979591,7468.89795917,7446.4860748,7465.97284666,88.8814648
1578245400000,7466.85714285,7470.0,7457.6734694,7463.06811226,82.99859452
1578247200000,7463.06811226,7468.5068756,7440.0,7440.0,97.18485085
1578249000000,7440.0,7446.44897956,7423.47959183,7440.32653054,139.95240063
1578250800000,7439.25612242,7448.48979591,7427.12,7445.91947818,126.9644206
1578252600000,7445.91947819,7448.48979576,7436.24489795,7444.39273893,89.69583522
1578254400000,7443.89024703,7443.89024703,7429.10204081,7429.10204081,78.14875284
1578256200000,7428.08163265,7439.30612242,7422.97959184,7431.65008081,72.6536961
1578258000000,7431.73509406,7431.77456404,7408.18163267,7408.86320921,94.32368634
1578259800000,7408.96954455,7409.7142857,7359.47636909,7367.72889648,91.62490577
1578261600000,7368.51170242,7386.05112743,7320.1489101,7336.37235812,51.49101941
1578263400000,7337.89260262,7363.7205745,7333.25501209,7356.65002,23.01943301
1578265200000,7356.79715546,7361.30922298,7321.59653609,7349.91001457,49.00729745
1578267000000,7348.6424,7363.35,7343.47394862,7359.66822393,58.84817111
1578268800000,7357.40000015,7374.89932885,7347.18857922,7357.86414765,95.56095818
1578270600000,7357.33603569,7384.28985076,7350.0,7379.5798387,92.35443973
1578272400000,7379.03722854,7392.25557133,7367.55825008,7378.08163265,118.76213814
1578274200000,7378.9408163,7427.53839056,7371.23793723,7425.9242973,152.57671795
1578276000000,7423.51073596,7522.00158437,7422.61126792,7509.17408709,252.74892245
1578277800000,7511.02957043,7564.1748397,7489.22212395,7542.25605697,155.34592431
1578279600000,7550.8142499,7579.42432717,7492.95092001,7517.09808856,155.27414153
1578281400000,7523.25700076,7544.26476134,7514.51995854,7539.64870403,62.49100045
1578283200000,7540.421747,7554.36118311,7517.15476119,7518.62149573,111.19326878
1578285000000,7518.93537402,7543.03336499,7515.51404336,7528.55276605,54.65090703
1578286800000,7528.65276617,7541.426908,7502.47067685,7510.97746913,33.30617062
1578288600000,7514.29186405,7532.09217654,7497.70354073,7531.97284735,60.32943715
1578290400000,7531.855055,7535.01089016,7510.00000005,7515.11610401,37.13869991
